"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_single_value[3]","tests.api","Sat Nov 29 02:39:57 UTC 2025","passed","Sat Nov 29 02:39:57 UTC 2025","","test_api_demo","",""
"","0","test_single_value[1]","tests.api","Sat Nov 29 02:39:57 UTC 2025","passed","Sat Nov 29 02:39:57 UTC 2025","","test_api_demo","",""
"","262","test_has_title[chromium]","tests.ui","Sat Nov 29 02:39:58 UTC 2025","passed","Sat Nov 29 02:39:59 UTC 2025","","test_ui_example","",""
"","584","test_anything_get","tests.api","Sat Nov 29 02:39:57 UTC 2025","passed","Sat Nov 29 02:39:57 UTC 2025","","test_api_demo","",""
"","0","test_single_value[2]","tests.api","Sat Nov 29 02:39:57 UTC 2025","passed","Sat Nov 29 02:39:57 UTC 2025","","test_api_demo","",""
"","1","test_login[guest-wrong-True]","tests.api","Sat Nov 29 02:39:57 UTC 2025","passed","Sat Nov 29 02:39:57 UTC 2025","","test_api_demo","",""
"","79","test_anything_post","tests.api","Sat Nov 29 02:39:57 UTC 2025","passed","Sat Nov 29 02:39:57 UTC 2025","","test_api_demo","",""
"","0","test_multiple_values[1-2-3]","tests.api","Sat Nov 29 02:39:57 UTC 2025","passed","Sat Nov 29 02:39:57 UTC 2025","","test_api_demo","",""
"","1","test_multiple_values[10-15-25]","tests.api","Sat Nov 29 02:39:57 UTC 2025","passed","Sat Nov 29 02:39:57 UTC 2025","","test_api_demo","",""
"","322","test_get_started_link[chromium]","tests.ui","Sat Nov 29 02:39:59 UTC 2025","passed","Sat Nov 29 02:39:59 UTC 2025","","test_ui_example","",""
"","0","test_multiple_values[4-5-9]","tests.api","Sat Nov 29 02:39:57 UTC 2025","passed","Sat Nov 29 02:39:57 UTC 2025","","test_api_demo","",""
"","1","test_login[admin-admin123-True]","tests.api","Sat Nov 29 02:39:57 UTC 2025","passed","Sat Nov 29 02:39:57 UTC 2025","","test_api_demo","",""
"","1","test_login[user-user123-True]","tests.api","Sat Nov 29 02:39:57 UTC 2025","passed","Sat Nov 29 02:39:57 UTC 2025","","test_api_demo","",""
